trial,time,depot_id,drone_ids,lat,lon,num_drones
0,0,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,0,2,dn4;dn5;dn6,37.751751,-122.410654,3
0,0,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,0,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,0,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,1,4,dn11;dn12,37.78929,-122.426797,2
0,2,4,dn11;dn12,37.78929,-122.426797,2
0,3,4,dn12,37.78929,-122.426797,1
0,4,4,dn12,37.78929,-122.426797,1
0,5,4,dn12,37.78929,-122.426797,1
0,6,4,dn12,37.78929,-122.426797,1
0,7,4,dn12,37.78929,-122.426797,1
0,8,4,dn12,37.78929,-122.426797,1
0,9,4,dn12,37.78929,-122.426797,1
0,9,5,dn13,37.739611,-122.492203,1
0,10,4,dn12,37.78929,-122.426797,1
0,11,4,dn12,37.78929,-122.426797,1
0,12,1,dn1,37.774524,-122.473656,1
0,12,3,dn7,37.718779,-122.462401,1
0,12,4,dn12,37.78929,-122.426797,1
0,12,5,dn14,37.739611,-122.492203,1
0,13,4,dn12,37.78929,-122.426797,1
0,14,1,dn3,37.774524,-122.473656,1
0,14,4,dn12,37.78929,-122.426797,1
0,15,5,dn13,37.739611,-122.492203,1
0,20,5,dn14;dn15,37.739611,-122.492203,2
0,21,5,dn14;dn15,37.739611,-122.492203,2
0,22,2,dn6,37.751751,-122.410654,1
0,22,3,dn9,37.718779,-122.462401,1
0,22,5,dn14;dn15,37.739611,-122.492203,2
0,23,5,dn14;dn15,37.739611,-122.492203,2
0,24,1,dn1,37.774524,-122.473656,1
0,24,3,dn7,37.718779,-122.462401,1
0,24,5,dn15,37.739611,-122.492203,1
0,25,1,dn1,37.774524,-122.473656,1
0,25,3,dn7,37.718779,-122.462401,1
0,25,5,dn15,37.739611,-122.492203,1
0,26,1,dn2,37.774524,-122.473656,1
0,26,3,dn7,37.718779,-122.462401,1
0,26,5,dn15,37.739611,-122.492203,1
0,27,1,dn2,37.774524,-122.473656,1
0,27,5,dn15,37.739611,-122.492203,1
0,28,1,dn2,37.774524,-122.473656,1
0,28,5,dn15,37.739611,-122.492203,1
0,29,1,dn2,37.774524,-122.473656,1
0,29,5,dn15,37.739611,-122.492203,1
0,30,3,dn8,37.718779,-122.462401,1
0,30,5,dn15,37.739611,-122.492203,1
0,31,3,dn8,37.718779,-122.462401,1
0,31,5,dn14;dn15,37.739611,-122.492203,2
0,32,3,dn8,37.718779,-122.462401,1
0,32,4,dn10;dn11,37.78929,-122.426797,2
0,32,5,dn14;dn15,37.739611,-122.492203,2
0,33,4,dn11,37.78929,-122.426797,1
0,33,5,dn14;dn15,37.739611,-122.492203,2
0,34,2,dn5,37.751751,-122.410654,1
0,34,4,dn11;dn12,37.78929,-122.426797,2
0,34,5,dn14;dn15,37.739611,-122.492203,2
0,35,4,dn11;dn12,37.78929,-122.426797,2
0,35,5,dn14;dn15,37.739611,-122.492203,2
0,36,4,dn11;dn12,37.78929,-122.426797,2
0,36,5,dn14;dn15,37.739611,-122.492203,2
0,37,4,dn11;dn12,37.78929,-122.426797,2
0,37,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,38,4,dn11;dn12,37.78929,-122.426797,2
0,38,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,39,4,dn12,37.78929,-122.426797,1
0,39,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,40,3,dn8,37.718779,-122.462401,1
0,40,4,dn12,37.78929,-122.426797,1
0,40,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,41,3,dn8,37.718779,-122.462401,1
0,41,4,dn12,37.78929,-122.426797,1
0,41,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,42,4,dn12,37.78929,-122.426797,1
0,42,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,43,4,dn12,37.78929,-122.426797,1
0,43,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,44,4,dn12,37.78929,-122.426797,1
0,44,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,45,4,dn12,37.78929,-122.426797,1
0,45,5,dn14;dn15,37.739611,-122.492203,2
0,46,1,dn2;dn3,37.774524,-122.473656,2
0,46,2,dn4,37.751751,-122.410654,1
0,46,4,dn12,37.78929,-122.426797,1
0,46,5,dn14;dn15,37.739611,-122.492203,2
0,47,1,dn2;dn3,37.774524,-122.473656,2
0,47,5,dn14;dn15,37.739611,-122.492203,2
0,48,1,dn2;dn3,37.774524,-122.473656,2
0,48,2,dn6,37.751751,-122.410654,1
0,48,5,dn14;dn15,37.739611,-122.492203,2
0,49,1,dn2;dn3,37.774524,-122.473656,2
0,49,2,dn6,37.751751,-122.410654,1
0,49,5,dn14;dn15,37.739611,-122.492203,2
0,50,1,dn2;dn3,37.774524,-122.473656,2
0,50,2,dn6,37.751751,-122.410654,1
0,50,5,dn14;dn15,37.739611,-122.492203,2
0,51,1,dn2;dn3,37.774524,-122.473656,2
0,51,5,dn14;dn15,37.739611,-122.492203,2
0,52,1,dn3,37.774524,-122.473656,1
0,52,3,dn8,37.718779,-122.462401,1
0,52,5,dn14;dn15,37.739611,-122.492203,2
0,53,1,dn3,37.774524,-122.473656,1
0,53,3,dn8,37.718779,-122.462401,1
0,53,5,dn14;dn15,37.739611,-122.492203,2
0,54,1,dn3,37.774524,-122.473656,1
0,54,3,dn7;dn8,37.718779,-122.462401,2
0,54,5,dn14;dn15,37.739611,-122.492203,2
0,55,1,dn3,37.774524,-122.473656,1
0,55,3,dn7;dn8,37.718779,-122.462401,2
0,55,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,56,2,dn5,37.751751,-122.410654,1
0,56,3,dn7;dn8,37.718779,-122.462401,2
0,56,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,57,3,dn7;dn8,37.718779,-122.462401,2
0,57,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,58,3,dn7;dn8,37.718779,-122.462401,2
0,58,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,59,3,dn7;dn8,37.718779,-122.462401,2
0,59,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,60,3,dn8;dn9,37.718779,-122.462401,2
0,60,4,dn10,37.78929,-122.426797,1
0,60,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,61,3,dn8;dn9,37.718779,-122.462401,2
0,61,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,62,3,dn8;dn9,37.718779,-122.462401,2
0,62,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,63,1,dn2,37.774524,-122.473656,1
0,63,3,dn8;dn9,37.718779,-122.462401,2
0,63,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,64,3,dn8;dn9,37.718779,-122.462401,2
0,64,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,65,3,dn8;dn9,37.718779,-122.462401,2
