trial,time,depot_id,pkg_id,pkg_lat,pkg_lon,depot_lat,depot_lon,distance,approx_travel_time
74,0,3,pkg4,37.753049300560455,-122.49921927416007,37.718779,-122.462401,4.95742902375706,11
74,0,3,pkg5,37.74788031172426,-122.50639032779532,37.718779,-122.462401,4.999975969650974,11
74,0,3,pkg6,37.73206827371857,-122.45018325715382,37.718779,-122.462401,1.8115056665084166,4
74,0,3,pkg9,37.736897821696964,-122.46534054675638,37.718779,-122.462401,2.0139746218280488,5
74,0,3,pkg14,37.716639823959504,-122.4395324994943,37.718779,-122.462401,2.0083222692262246,5
74,0,3,pkg15,37.7296578753828,-122.46591618236916,37.718779,-122.462401,1.2379427579508437,3
74,0,3,pkg17,37.74676681885843,-122.49567269913358,37.718779,-122.462401,4.234902618945919,10
74,0,3,pkg18,37.75110260055748,-122.48967806644166,37.718779,-122.462401,4.284126371538051,10
74,0,4,pkg3,37.778574998739096,-122.41896715541208,37.78929,-122.426797,1.3642065949306843,3
74,0,4,pkg8,37.76174462160134,-122.40045100940013,37.78929,-122.426797,3.807316600724164,9
74,0,4,pkg16,37.79602074245468,-122.48023798879974,37.78929,-122.426797,4.714507424724556,11
74,0,5,pkg2,37.75421522781503,-122.50637980514377,37.739611,-122.492203,2.029681147936144,5
74,0,5,pkg4,37.753049300560455,-122.49921927416007,37.739611,-122.492203,1.6028480922401371,4
74,0,5,pkg5,37.74788031172426,-122.50639032779532,37.739611,-122.492203,1.5365034987229027,4
74,0,5,pkg6,37.73206827371857,-122.45018325715382,37.739611,-122.492203,3.7570830114559555,9
74,0,5,pkg7,37.77405216386039,-122.4962082400427,37.739611,-122.492203,3.8131465325794385,9
74,0,5,pkg13,37.7605104802858,-122.48822428322978,37.739611,-122.492203,2.3301183988829544,5
74,0,5,pkg17,37.74676681885843,-122.49567269913358,37.739611,-122.492203,0.844927589573037,2
74,0,5,pkg18,37.75110260055748,-122.48967806644166,37.739611,-122.492203,1.285925922084798,3
74,0,5,pkg22,37.759850334493194,-122.4931081106382,37.739611,-122.492203,2.2327808001498464,5
74,9,3,pkg6,37.73206827371857,-122.45018325715382,37.718779,-122.462401,1.8115056665084166,4
74,9,3,pkg14,37.716639823959504,-122.4395324994943,37.718779,-122.462401,2.0083222692262246,5
74,9,3,pkg18,37.75110260055748,-122.48967806644166,37.718779,-122.462401,4.284126371538051,10
74,9,3,pkg23,37.72113452428127,-122.50622215634192,37.718779,-122.462401,3.830348152937022,9
74,9,3,pkg24,37.71429735754958,-122.47222219348444,37.718779,-122.462401,0.9888541689086898,3
74,9,3,pkg25,37.759056829338355,-122.47110504753263,37.718779,-122.462401,4.504972862247545,10
74,9,5,pkg2,37.75421522781503,-122.50637980514377,37.739611,-122.492203,2.029681147936144,5
74,9,5,pkg7,37.77405216386039,-122.4962082400427,37.739611,-122.492203,3.8131465325794385,9
74,9,5,pkg13,37.7605104802858,-122.48822428322978,37.739611,-122.492203,2.3301183988829544,5
74,9,5,pkg18,37.75110260055748,-122.48967806644166,37.739611,-122.492203,1.285925922084798,3
