trial,timestep,drone_id,pkg_id,actual_delivery_time,deadline,on_time
,7.0,dn5,pkg7,7.0,15.0,True
,8.0,dn1,pkg4,8.0,16.0,True
,8.0,dn2,pkg3,8.0,15.0,True
,8.0,dn4,pkg2,8.0,17.0,True
,10.0,dn3,pkg5,10.0,19.0,True
,11.0,dn1,pkg1,11,18.0,True
,13.0,dn5,pkg8,13,14.0,True
,23.0,dn4,pkg6,23,18.0,False
