trial,time,drone_id,pkg_id,agent_tw_earliest_time,agent_tw_latest_time,agent_tw_avail,true_return_time,true_delivery_time,success_prob,approx_travel_time,true_travel_time
0,0,dn1,pkg4,8.0,16.0,18,10.0,8.0,8.065044950046229,,2.0
0,0,dn2,pkg3,8.0,15.0,20,13.0,8.0,8.065044950046229,,5.0
0,0,dn3,pkg5,10.0,19.0,20,11.0,10.0,8.065044950046229,,1.0
0,0,dn4,pkg2,8.0,17.0,19,10.0,8.0,8.065044950046229,,2.0
0,0,dn5,pkg7,7.0,15.0,24,10.0,7.0,8.065044950046229,,3.0
0,10,dn1,pkg1,8.0,18.0,21,12,11,1000.0,,1
0,10,dn4,pkg6,9.0,18.0,27,36,23,8.065044950046229,,13
0,10,dn5,pkg8,8.0,14.0,16,16,13,1000.0,,3
