trial,time,depot_id,drone_ids,lat,lon,num_drones
0,0,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,0,2,dn4;dn5;dn6,37.751751,-122.410654,3
0,0,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,0,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,0,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,1,2,dn5;dn6,37.751751,-122.410654,2
0,1,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,1,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,1,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,8,5,dn14,37.739611,-122.492203,1
0,9,1,dn1,37.774524,-122.473656,1
0,9,3,dn8,37.718779,-122.462401,1
0,10,2,dn5,37.751751,-122.410654,1
0,11,5,dn15,37.739611,-122.492203,1
0,12,3,dn7,37.718779,-122.462401,1
0,13,5,dn13,37.739611,-122.492203,1
0,15,1,dn1,37.774524,-122.473656,1
0,15,4,dn10;dn11,37.78929,-122.426797,2
0,16,1,dn2,37.774524,-122.473656,1
0,16,3,dn7,37.718779,-122.462401,1
0,17,2,dn6,37.751751,-122.410654,1
0,18,1,dn3,37.774524,-122.473656,1
0,18,3,dn9,37.718779,-122.462401,1
0,21,4,dn12,37.78929,-122.426797,1
0,22,4,dn12,37.78929,-122.426797,1
0,23,4,dn12,37.78929,-122.426797,1
0,24,4,dn12,37.78929,-122.426797,1
0,25,1,dn1,37.774524,-122.473656,1
0,25,4,dn12,37.78929,-122.426797,1
0,26,1,dn1,37.774524,-122.473656,1
0,27,1,dn1,37.774524,-122.473656,1
0,27,4,dn10,37.78929,-122.426797,1
0,28,1,dn1,37.774524,-122.473656,1
0,28,2,dn4,37.751751,-122.410654,1
0,28,3,dn7,37.718779,-122.462401,1
0,28,4,dn10,37.78929,-122.426797,1
0,29,1,dn1,37.774524,-122.473656,1
0,29,3,dn9,37.718779,-122.462401,1
0,29,4,dn10,37.78929,-122.426797,1
0,29,5,dn15,37.739611,-122.492203,1
0,30,1,dn1,37.774524,-122.473656,1
0,30,2,dn5,37.751751,-122.410654,1
0,30,3,dn9,37.718779,-122.462401,1
0,30,4,dn10,37.78929,-122.426797,1
0,30,5,dn14,37.739611,-122.492203,1
0,31,1,dn1,37.774524,-122.473656,1
0,31,2,dn5,37.751751,-122.410654,1
0,31,3,dn9,37.718779,-122.462401,1
0,31,4,dn10,37.78929,-122.426797,1
0,32,1,dn1;dn2,37.774524,-122.473656,2
0,32,2,dn5,37.751751,-122.410654,1
0,32,3,dn7;dn9,37.718779,-122.462401,2
0,32,4,dn10,37.78929,-122.426797,1
0,33,1,dn1;dn2,37.774524,-122.473656,2
0,33,2,dn5,37.751751,-122.410654,1
0,33,3,dn9,37.718779,-122.462401,1
0,34,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,34,2,dn5,37.751751,-122.410654,1
0,34,3,dn9,37.718779,-122.462401,1
0,35,1,dn2;dn3,37.774524,-122.473656,2
0,35,2,dn5,37.751751,-122.410654,1
0,35,3,dn8;dn9,37.718779,-122.462401,2
0,36,1,dn2;dn3,37.774524,-122.473656,2
0,36,2,dn5,37.751751,-122.410654,1
0,36,3,dn8;dn9,37.718779,-122.462401,2
0,37,1,dn3,37.774524,-122.473656,1
0,37,2,dn5,37.751751,-122.410654,1
0,37,3,dn8;dn9,37.718779,-122.462401,2
0,37,4,dn12,37.78929,-122.426797,1
0,38,1,dn3,37.774524,-122.473656,1
0,38,2,dn5,37.751751,-122.410654,1
0,38,3,dn8;dn9,37.718779,-122.462401,2
0,38,4,dn10;dn12,37.78929,-122.426797,2
0,39,1,dn3,37.774524,-122.473656,1
0,39,2,dn5;dn6,37.751751,-122.410654,2
0,39,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,39,4,dn10;dn12,37.78929,-122.426797,2
0,40,1,dn3,37.774524,-122.473656,1
0,40,2,dn5,37.751751,-122.410654,1
0,40,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,40,4,dn10;dn12,37.78929,-122.426797,2
0,40,5,dn14,37.739611,-122.492203,1
0,41,2,dn5,37.751751,-122.410654,1
0,41,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,41,4,dn10;dn12,37.78929,-122.426797,2
0,41,5,dn13;dn14,37.739611,-122.492203,2
0,42,2,dn4;dn5,37.751751,-122.410654,2
0,42,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,42,4,dn10;dn12,37.78929,-122.426797,2
0,42,5,dn13;dn14,37.739611,-122.492203,2
0,43,2,dn4;dn5,37.751751,-122.410654,2
0,43,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,43,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,43,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,44,2,dn4;dn5,37.751751,-122.410654,2
0,44,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,44,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,44,5,dn13;dn14;dn15,37.739611,-122.492203,3
0,45,2,dn4;dn5,37.751751,-122.410654,2
0,45,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,45,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,45,5,dn14;dn15,37.739611,-122.492203,2
0,46,1,dn1,37.774524,-122.473656,1
0,46,2,dn4;dn5,37.751751,-122.410654,2
0,46,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,46,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,46,5,dn14;dn15,37.739611,-122.492203,2
0,47,1,dn1;dn2,37.774524,-122.473656,2
0,47,2,dn5,37.751751,-122.410654,1
0,47,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,47,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,47,5,dn14;dn15,37.739611,-122.492203,2
0,48,1,dn1,37.774524,-122.473656,1
0,48,2,dn5,37.751751,-122.410654,1
0,48,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,48,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,48,5,dn14;dn15,37.739611,-122.492203,2
0,49,1,dn1,37.774524,-122.473656,1
0,49,2,dn5,37.751751,-122.410654,1
0,49,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,49,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,49,5,dn14;dn15,37.739611,-122.492203,2
0,50,1,dn1,37.774524,-122.473656,1
0,50,2,dn5,37.751751,-122.410654,1
0,50,3,dn7;dn8;dn9,37.718779,-122.462401,3
0,50,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,50,5,dn14;dn15,37.739611,-122.492203,2
0,51,1,dn1,37.774524,-122.473656,1
0,51,2,dn5,37.751751,-122.410654,1
0,51,3,dn8;dn9,37.718779,-122.462401,2
0,51,4,dn10;dn11;dn12,37.78929,-122.426797,3
0,51,5,dn14;dn15,37.739611,-122.492203,2
0,52,1,dn1,37.774524,-122.473656,1
