trial,time,depot_id,pkg_id,pkg_lat,pkg_lon,depot_lat,depot_lon,distance,approx_travel_time
0,0,1,pkg2,37.76397890927038,-122.47551909649188,37.774524,-122.473656,1.1738815794059112,3
0,0,1,pkg6,37.779804506686716,-122.49454760697658,37.774524,-122.473656,1.9112843690415429,5
0,0,1,pkg7,37.77297376531437,-122.48100030583758,37.774524,-122.473656,0.6624575879925282,2
0,0,1,pkg8,37.77310115152999,-122.46926442558446,37.774524,-122.473656,0.41361146392684295,1
0,0,1,pkg14,37.795397416191435,-122.49324784765852,37.774524,-122.473656,2.8651814463319045,7
0,0,1,pkg15,37.751031283628706,-122.50660667426612,37.774524,-122.473656,3.8676965441459363,9
0,0,1,pkg16,37.748076849603585,-122.46812429027767,37.774524,-122.473656,2.955406369730734,7
0,0,1,pkg18,37.74436939171663,-122.45791993991776,37.774524,-122.473656,3.5964755740973047,8
0,0,1,pkg19,37.75403656546103,-122.48264850982625,37.774524,-122.473656,2.3908891194069657,6
0,0,2,pkg1,37.72261678304087,-122.44873008423035,37.751751,-122.410654,4.619812341512728,10
0,0,2,pkg3,37.72838348341742,-122.45628574200043,37.751751,-122.410654,4.740246006096341,11
0,0,2,pkg4,37.74793880573911,-122.41549362388074,37.751751,-122.410654,0.5955216347072317,2
0,0,2,pkg10,37.71560464297584,-122.4048093933317,37.751751,-122.410654,4.0176030465343,9
0,0,2,pkg11,37.78617584084239,-122.39642928745718,37.751751,-122.410654,3.9925853387265913,9
0,0,2,pkg12,37.746419003082046,-122.40830060980026,37.751751,-122.410654,0.622625656794712,2
0,0,2,pkg13,37.71509764880479,-122.44272573307225,37.751751,-122.410654,4.914655956028343,11
0,0,2,pkg17,37.74717182902261,-122.39749383060699,37.751751,-122.410654,1.253430384437003,3
0,0,2,pkg18,37.74436939171663,-122.45791993991776,37.751751,-122.410654,4.200247688324692,10
0,0,2,pkg21,37.72078662313689,-122.43770134140281,37.751751,-122.410654,4.1494398612904995,9
0,0,2,pkg22,37.74331731172092,-122.42259864779801,37.751751,-122.410654,1.3960538697186164,3
0,0,3,pkg1,37.72261678304087,-122.44873008423035,37.718779,-122.462401,1.2650401603946089,3
0,0,3,pkg3,37.72838348341742,-122.45628574200043,37.718779,-122.462401,1.1855828110980764,3
0,0,3,pkg5,37.72110224515376,-122.5012583440802,37.718779,-122.462401,3.3983205982119933,8
0,0,3,pkg9,37.724593591822114,-122.46880296639262,37.718779,-122.462401,0.8500739142035991,2
0,0,3,pkg13,37.71509764880479,-122.44272573307225,37.718779,-122.462401,1.763316829689127,4
0,0,3,pkg16,37.748076849603585,-122.46812429027767,37.718779,-122.462401,3.2683943244593214,8
0,0,3,pkg18,37.74436939171663,-122.45791993991776,37.718779,-122.462401,2.8482587903243797,7
0,0,3,pkg19,37.75403656546103,-122.48264850982625,37.718779,-122.462401,4.2690700385573885,10
0,0,3,pkg20,37.71406446408974,-122.48649463311172,37.718779,-122.462401,2.164676845334983,5
0,0,3,pkg21,37.72078662313689,-122.43770134140281,37.718779,-122.462401,2.165348410669492,5
