trial,timestep,drone_id,pkg_id,actual_delivery_time,deadline,on_time
,8.0,dn1,pkg4,8.0,16.0,True
,8.0,dn2,pkg3,8.0,15.0,True
,8.0,dn3,pkg1,8.0,18.0,True
,8.0,dn5,pkg8,8.0,14.0,True
,9.0,dn4,pkg7,9,15.0,True
,10.0,dn5,pkg2,10,17.0,True
,11.0,dn1,pkg5,11,19.0,True
,23.0,dn5,pkg6,23,18.0,False
