trial,time,depot_id,drone_ids,lat,lon,num_drones
0,0,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,0,2,dn4;dn5,37.751751,-122.410654,2
0,1,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,1,2,dn5,37.751751,-122.410654,1
0,9,2,dn5,37.751751,-122.410654,1
0,10,1,dn1,37.774524,-122.473656,1
0,11,1,dn3,37.774524,-122.473656,1
0,11,2,dn5,37.751751,-122.410654,1
0,12,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,13,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,14,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,15,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,16,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,17,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,18,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,18,2,dn4,37.751751,-122.410654,1
0,19,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,19,2,dn4,37.751751,-122.410654,1
0,20,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,20,2,dn4,37.751751,-122.410654,1
0,21,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,21,2,dn4,37.751751,-122.410654,1
0,22,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,22,2,dn4,37.751751,-122.410654,1
0,23,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,23,2,dn4,37.751751,-122.410654,1
0,24,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,24,2,dn4,37.751751,-122.410654,1
0,25,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,25,2,dn4,37.751751,-122.410654,1
0,26,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,26,2,dn4,37.751751,-122.410654,1
0,27,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,27,2,dn4,37.751751,-122.410654,1
0,28,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,28,2,dn4,37.751751,-122.410654,1
0,29,1,dn1;dn2;dn3,37.774524,-122.473656,3
0,29,2,dn4,37.751751,-122.410654,1
