trial,time,time_assigned,drone_id,depot_id,pkg_id,agent_tw_earliest_time,agent_tw_latest_time,agent_tw_avail,reward,true_return_time,true_delivery_time,success_prob,approx_travel_time,true_travel_time
0,0,0.0,dn4,2,pkg7,7.0,15.0,24,8.065044950046229,18,9,0.9919349550499538,9,9
0,1,1.0,dn1,1,pkg4,8.0,16.0,18,8.065044950046229,10.0,8.0,1.0,2,2.0
0,1,1.0,dn2,1,pkg3,8.0,15.0,20,8.065044950046229,12.0,8.0,1.0,5,4.0
0,1,1.0,dn3,1,pkg1,8.0,18.0,21,8.065044950046229,11.0,8.0,1.0,3,3.0
0,1,1.0,dn5,2,pkg8,8.0,14.0,16,8.065044950046229,9.0,8.0,1.0,2,1.0
0,9,9.0,dn5,2,pkg2,8.0,17.0,19,8.065044950046229,11,10,1.0,2,1
0,10,10.0,dn1,1,pkg5,10.0,19.0,20,8.065044950046229,12,11,1.0,1,1
0,11,11.0,dn5,2,pkg6,9.0,18.0,27,8.065044950046229,35,23,0.2830185888500204,9,12
