trial,time,drone_id,depot_id,pkg_id,agent_tw_earliest_time,agent_tw_latest_time,agent_tw_avail,reward,true_return_time,true_delivery_time,approx_travel_time,true_travel_time
0,0,dn1,1,pkg4,8.0,16.0,18,1000.0,30,15,2,15
0,0,dn2,1,pkg3,8.0,15.0,20,1000.0,34,17,5,17
0,0,dn3,1,pkg5,10.0,19.0,20,1000.0,22,11,1,11
0,0,dn4,2,pkg8,8.0,14.0,16,1000.0,10.0,8.0,2,2.0
0,0,dn5,2,pkg2,8.0,17.0,19,1000.0,9.0,8.0,2,1.0
0,9,dn5,2,pkg7,7.0,15.0,24,1000.0,15,12,9,3
0,10,dn4,2,pkg6,9.0,18.0,27,1000.0,36,23,9,13
