trial,timestep,drone_id,pkg_id,actual_delivery_time,on_time,deadline,depot_lat,depot_lon,delivery_lat,delivery_lon
,8.0,dn4,pkg8,8.0,True,14.0,37.751751,-122.410654,37.746419003082046,-122.40830060980026
,8.0,dn5,pkg2,8.0,True,17.0,37.751751,-122.410654,37.74793880573911,-122.41549362388074
,11.0,dn3,pkg5,11,True,19.0,37.774524,-122.473656,37.77310115152999,-122.46926442558446
,12.0,dn5,pkg7,12,True,15.0,37.751751,-122.410654,37.78617584084239,-122.39642928745718
,15.0,dn1,pkg4,15,True,16.0,37.774524,-122.473656,37.77297376531437,-122.48100030583758
,17.0,dn2,pkg3,17,False,15.0,37.774524,-122.473656,37.779804506686716,-122.49454760697658
,23.0,dn4,pkg6,23,False,18.0,37.751751,-122.410654,37.71560464297584,-122.4048093933317
